Neighbourhood,Latitude,Longitude,Room_Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum_Nights,Maximum_Nights,Number_of_Reviews,Review_Score_Rating,South_Beach,North_Beach,Central_City,North_Valley,East_of_805,Beach,No_Beach,House_Apartment,Private_Room,Shared_Room
Linda Vista,32.79432,-117.17452,Entire home/apt,2,1,1,1,89,31,360,60,96,0,0,0,1,0,0,1,1,0,0
East Village,32.71383,-117.15606,Entire home/apt,3,1,1,1,149,2,4,37,92,0,0,1,0,0,0,1,1,0,0
Old Town,32.75233,-117.17709,Entire home/apt,2,1,1,2,175,2,21,303,98,0,0,1,0,0,0,1,1,0,0
Bird Land,32.78175,-117.16045,Private room,2,1,1,2,61,5,365,76,95,0,0,0,1,0,0,1,0,1,0
Bird Land,32.78175,-117.16045,Private room,2,1,1,1,88,5,365,53,96,0,0,0,1,0,0,1,0,1,0
Grant Hill,32.70922,-117.14334,Entire home/apt,2,1,1,1,99,7,365,21,94,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.70862,-117.14266,Entire home/apt,2,1,1,2,79,14,365,10,98,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.70922,-117.14229,Entire home/apt,2,1,1,1,79,14,365,8,100,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.7078,-117.14369,Entire home/apt,2,1,1,1,89,30,365,13,100,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.7091,-117.14232,Entire home/apt,2,1,1,1,89,14,365,30,94,0,0,1,0,0,0,1,1,0,0
Scripps Ranch,32.90838,-117.08981,Private room,2,1,1,1,65,2,365,82,93,0,0,0,0,1,0,1,0,1,0
Scripps Ranch,32.90678,-117.08732,Private room,2,1,1,1,65,2,10,35,98,0,0,0,0,1,0,1,0,1,0
Ocean Beach,32.73378,-117.2445,Entire home/apt,6,2,3,4,235,3,365,23,97,1,0,0,0,0,1,0,1,0,0
South Park,32.72828,-117.12208,Entire home/apt,1,1,1,1,95,28,365,212,97,0,0,1,0,0,0,1,1,0,0
Midtown,32.74245,-117.17547,Entire home/apt,2,1,1,1,72,2,1125,256,96,0,0,1,0,0,0,1,1,0,0
Loma Portal,32.75031,-117.23056,Entire home/apt,4,2,2,2,71,31,120,49,91,1,0,0,0,0,1,0,1,0,0
Midtown,32.73457,-117.1643,Entire home/apt,4,1,1,1,115,28,365,42,94,0,0,1,0,0,0,1,1,0,0
Midtown,32.75002,-117.16628,Private room,2,2,1,1,65,2,10,90,100,0,0,1,0,0,0,1,0,1,0
West University Heights,32.75742,-117.14789,Entire home/apt,2,1,1,1,99,28,2000,83,97,0,0,0,1,0,0,1,1,0,0
Clairemont Mesa,32.81758,-117.16845,Entire home/apt,6,1,1,3,90,3,5,274,98,0,0,0,1,0,0,1,1,0,0
Mission Bay,32.79247,-117.23293,Entire home/apt,5,2,2,2,159,3,60,16,91,0,1,0,0,0,1,0,1,0,0
Loma Portal,32.75719,-117.22755,Private room,2,1.5,1,1,35,31,1125,87,98,1,0,0,0,0,1,0,0,1,0
Roseville,32.73815,-117.22005,Private room,2,2,1,2,122,1,5,46,85,1,0,0,0,0,1,0,0,1,0
Pacific Beach,32.80143,-117.25725,Entire home/apt,3,1,1,1,91,2,1125,99,94,0,1,0,0,0,1,0,1,0,0
Midtown,32.74494,-117.17412,Entire home/apt,1,1,1,0,70,3,30,155,96,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.75127,-117.2489,Entire home/apt,2,1,1,1,109,3,730,55,99,1,0,0,0,0,1,0,1,0,0
La Jolla,32.83919,-117.27776,Entire home/apt,5,1,2,2,251,2,28,258,97,0,1,0,0,0,1,0,1,0,0
La Jolla,32.8345,-117.27567,Entire home/apt,6,2,3,3,250,3,365,171,96,0,1,0,0,0,1,0,1,0,0
Bay Park,32.77925,-117.20543,Private room,2,1,1,2,42,7,90,128,96,0,0,0,1,0,0,1,0,1,0
Midtown,32.74258,-117.17784,Entire home/apt,3,1,1,1,115,1,1125,116,96,0,0,1,0,0,0,1,1,0,0
Clairemont Mesa,32.80278,-117.1896,Entire home/apt,2,1,1,1,114,7,180,169,97,0,0,0,1,0,0,1,1,0,0
Park West,32.72662,-117.16599,Private room,3,0.5,1,1,58,1,180,626,93,0,0,1,0,0,0,1,0,1,0
Midtown,32.74919,-117.1531,Private room,2,1,1,1,50,30,365,123,100,0,0,1,0,0,0,1,0,1,0
Park West,32.7266,-117.16376,Private room,3,1,1,1,58,1,1125,558,90,0,0,1,0,0,0,1,0,1,0
Park West,32.72795,-117.16392,Private room,2,3,1,1,52,1,1125,557,90,0,0,1,0,0,0,1,0,1,0
Park West,32.72728,-117.16441,Private room,2,1,1,1,54,1,330,693,95,0,0,1,0,0,0,1,0,1,0
La Jolla,32.82787,-117.27975,Entire home/apt,10,4,5,5,779,3,365,29,99,0,1,0,0,0,1,0,1,0,0
South Park,32.71854,-117.12731,Entire home/apt,2,1,1,1,49,2,1125,386,96,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.71009,-117.14451,Entire home/apt,4,1,2,2,128,2,90,481,98,0,0,1,0,0,0,1,1,0,0
Normal Heights,32.75748,-117.12138,Entire home/apt,4,1,2,2,125,7,360,182,95,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.79123,-117.23557,Entire home/apt,2,1.5,1,4,150,3,30,111,97,0,1,0,0,0,1,0,1,0,0
South Park,32.71905,-117.12827,Entire home/apt,5,1,3,3,200,2,30,34,91,0,0,1,0,0,0,1,1,0,0
Midtown,32.73629,-117.16152,Entire home/apt,2,1,1,1,83,30,365,30,96,0,0,1,0,0,0,1,1,0,0
La Jolla,32.83253,-117.25909,Private room,2,1,1,1,130,2,60,70,98,0,1,0,0,0,1,0,0,1,0
Bay Park,32.80643,-117.19622,Entire home/apt,6,1,2,2,199,3,1125,111,99,0,0,0,1,0,0,1,1,0,0
Mission Bay,32.77816,-117.25234,Entire home/apt,8,2.5,2,3,366,3,365,1,100,0,1,0,0,0,1,0,1,0,0
La Jolla,32.81549,-117.26378,Entire home/apt,11,3,4,5,493,3,29,185,97,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80432,-117.25331,Entire home/apt,2,1,1,1,88,2,120,568,98,0,1,0,0,0,1,0,1,0,0
Normal Heights,32.76517,-117.12635,Entire home/apt,10,2,4,5,207,3,150,111,93,0,0,0,0,1,0,1,1,0,0
South Park,32.7285,-117.12425,Entire home/apt,2,1,1,1,113,2,30,463,97,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.73421,-117.25041,Entire home/apt,12,4,5,7,721,3,1125,33,95,1,0,0,0,0,1,0,1,0,0
Park West,32.7266,-117.16571,Private room,2,1,1,1,55,1,1125,776,94,0,0,1,0,0,0,1,0,1,0
Midtown,32.7424,-117.16346,Private room,2,1,1,1,59,1,42,192,98,0,0,1,0,0,0,1,0,1,0
La Jolla,32.82935,-117.27878,Entire home/apt,4,2,2,2,365,3,90,72,97,0,1,0,0,0,1,0,1,0,0
La Jolla,32.82763,-117.27862,Entire home/apt,4,2,2,2,365,3,90,66,99,0,1,0,0,0,1,0,1,0,0
Midtown,32.74407,-117.17589,Entire home/apt,1,0.5,1,1,125,1,1125,1,100,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.74541,-117.24939,Entire home/apt,6,1,2,2,197,3,180,178,95,1,0,0,0,0,1,0,1,0,0
Midtown District,32.71937,-117.22115,Entire home/apt,5,1,2,1,242,2,30,32,94,0,0,1,0,0,0,1,1,0,0
La Jolla,32.81395,-117.26666,Entire home/apt,5,2,3,3,650,3,14,5,95,0,1,0,0,0,1,0,1,0,0
Park West,32.72727,-117.16611,Private room,3,0.5,1,1,53,1,29,472,93,0,0,1,0,0,0,1,0,1,0
Park West,32.72831,-117.16564,Private room,2,1,1,0,55,1,1125,627,92,0,0,1,0,0,0,1,0,1,0
Core,32.71666,-117.1552,Entire home/apt,2,1,1,2,87,30,365,104,96,0,0,1,0,0,0,1,1,0,0
La Jolla,32.84117,-117.26714,Entire home/apt,16,5.5,6,7,1324,4,180,2,100,0,1,0,0,0,1,0,1,0,0
Midtown,32.74479,-117.17559,Entire home/apt,5,2,2,2,179,2,30,168,98,0,0,1,0,0,0,1,1,0,0
Marina,32.70951,-117.1623,Entire home/apt,7,2,2,3,95,28,365,16,91,0,0,1,0,0,0,1,1,0,0
Rancho Penasquitos,32.9519,-117.11233,Entire home/apt,6,2,3,3,250,5,14,11,95,0,0,0,0,1,0,1,1,0,0
La Jolla,32.84588,-117.27058,Private room,2,1,1,1,161,2,365,58,98,0,1,0,0,0,1,0,0,1,0
Park West,32.72704,-117.16424,Private room,2,3,1,1,52,1,1125,507,92,0,0,1,0,0,0,1,0,1,0
La Jolla,32.84543,-117.2699,Private room,2,1,1,1,171,2,1125,101,98,0,1,0,0,0,1,0,0,1,0
La Jolla,32.80887,-117.25906,Entire home/apt,12,3,5,5,465,4,365,7,89,0,1,0,0,0,1,0,1,0,0
Midtown District,32.71937,-117.22115,Entire home/apt,4,1,2,2,270,2,30,25,99,0,0,1,0,0,0,1,1,0,0
Balboa Park,32.71521,-117.14496,Entire home/apt,2,1,1,1,64,30,365,1,100,0,0,1,0,0,0,1,1,0,0
La Jolla,32.84506,-117.27025,Private room,2,1,1,1,181,2,1125,60,99,0,1,0,0,0,1,0,0,1,0
Ocean Beach,32.73731,-117.24774,Entire home/apt,4,1,1,2,104,1,30,13,96,1,0,0,0,0,1,0,1,0,0
Linda Vista,32.79485,-117.17299,Entire home/apt,2,1,1,1,89,30,365,57,94,0,0,0,1,0,0,1,1,0,0
Clairemont Mesa,32.80878,-117.18563,Private room,4,1,1,2,55,4,30,296,96,0,0,0,1,0,0,1,0,1,0
Wooded Area,32.72538,-117.25129,Private room,2,1,1,1,98,2,29,92,98,1,0,0,0,0,1,0,0,1,0
Wooded Area,32.72747,-117.24972,Private room,2,1,1,1,105,2,15,92,99,1,0,0,0,0,1,0,0,1,0
La Jolla,32.84097,-117.27014,Entire home/apt,5,1,2,2,187,1,14,293,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.8073,-117.24181,Entire home/apt,5,2,3,4,249,5,180,34,96,0,1,0,0,0,1,0,1,0,0
La Jolla,32.84538,-117.26891,Entire home/apt,2,1,1,1,191,2,1125,123,97,0,1,0,0,0,1,0,1,0,0
East Village,32.71064,-117.15588,Entire home/apt,4,2,2,2,359,26,180,17,99,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.76046,-117.24858,Entire home/apt,6,1,2,5,199,2,1125,250,96,0,1,0,0,0,1,0,1,0,0
University City,32.86913,-117.2192,Private room,2,2,2,1,51,5,350,18,96,0,1,0,0,0,1,0,0,1,0
Normal Heights,32.7647,-117.1225,Private room,2,1,1,1,54,1,7,202,99,0,0,0,0,1,0,1,0,1,0
East Village,32.71717,-117.15184,Private room,1,1,1,1,37,1,365,2,100,0,0,1,0,0,0,1,0,1,0
Grantville,32.7861,-117.10664,Entire home/apt,5,1,1,1,125,30,1125,105,98,0,0,0,0,1,0,1,1,0,0
Pacific Beach,32.80749,-117.2565,Entire home/apt,6,1,2,2,204,3,1125,31,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80227,-117.25813,Entire home/apt,6,1,2,5,186,3,1124,73,95,0,1,0,0,0,1,0,1,0,0
Mira Mesa,32.92114,-117.14685,Private room,1,1,1,1,75,31,1125,31,98,0,0,0,0,1,0,1,0,1,0
South Park,32.72521,-117.1274,Entire home/apt,4,1,1,2,119,2,30,481,97,0,0,1,0,0,0,1,1,0,0
Grantville,32.78229,-117.1067,Entire home/apt,5,1,2,3,95,30,365,20,97,0,0,0,0,1,0,1,1,0,0
Rancho Penasquitos,32.96473,-117.1215,Entire home/apt,14,2.5,4,5,367,3,28,5,100,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.79171,-117.23389,Private room,2,1,1,1,51,3,15,71,97,0,1,0,0,0,1,0,0,1,0
Park West,32.73005,-117.16316,Entire home/apt,2,1,1,1,89,30,1124,11,96,0,0,1,0,0,0,1,1,0,0
Midtown,32.74239,-117.1638,Private room,2,1,1,1,90,2,14,146,98,0,0,1,0,0,0,1,0,1,0
Carmel Valley,32.95101,-117.23074,Entire home/apt,2,1,1,1,78,10,365,20,99,0,1,0,0,0,1,0,1,0,0
Grant Hill,32.70764,-117.14261,Entire home/apt,4,1,1,2,85,2,21,184,91,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.78673,-117.25305,Entire home/apt,5,2,2,3,179,5,60,23,95,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.75117,-117.25125,Entire home/apt,4,1,1,2,151,2,27,542,98,1,0,0,0,0,1,0,1,0,0
College Area,32.76499,-117.08041,Private room,2,1,1,1,55,20,1100,105,96,0,0,0,0,1,0,1,0,1,0
La Jolla,32.84995,-117.26101,Entire home/apt,12,3,5,8,699,3,120,108,95,0,1,0,0,0,1,0,1,0,0
La Jolla,32.82694,-117.27858,Entire home/apt,4,1,2,2,154,1,28,220,93,0,1,0,0,0,1,0,1,0,0
La Jolla,32.82853,-117.277,Entire home/apt,2,1,1,1,94,1,1125,331,96,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80166,-117.25723,Entire home/apt,10,2,3,5,256,3,1124,46,93,0,1,0,0,0,1,0,1,0,0
Serra Mesa,32.7935,-117.14504,Private room,2,1,1,2,54,2,7,10,93,0,0,0,0,1,0,1,0,1,0
Balboa Park,32.7295,-117.13236,Entire home/apt,5,1,3,3,151,2,30,18,96,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79979,-117.25704,Entire home/apt,8,2,2,4,330,3,1125,18,99,0,1,0,0,0,1,0,1,0,0
La Jolla,32.85102,-117.24824,Entire home/apt,5,2,2,2,250,3,90,9,96,0,1,0,0,0,1,0,1,0,0
East Village,32.70997,-117.15458,Entire home/apt,4,2.5,2,2,135,30,365,4,100,0,0,1,0,0,0,1,1,0,0
Gaslamp Quarter,32.70914,-117.15934,Entire home/apt,2,1,1,2,210,30,365,21,89,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79928,-117.2572,Entire home/apt,6,1,1,3,235,3,1125,6,93,0,1,0,0,0,1,0,1,0,0
East Village,32.71419,-117.15931,Entire home/apt,4,2,2,2,125,30,360,7,86,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80084,-117.25778,Entire home/apt,6,1,1,3,235,3,1125,12,98,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80057,-117.25852,Entire home/apt,6,1,1,4,235,3,1125,4,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79902,-117.25846,Entire home/apt,4,1,1,2,235,3,1125,4,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79817,-117.25784,Entire home/apt,4,1,1,2,235,3,1125,17,96,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79824,-117.25808,Entire home/apt,4,1,1,2,235,3,1125,3,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79621,-117.25608,Entire home/apt,6,1,1,2,235,3,1125,12,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80104,-117.25897,Entire home/apt,6,1,1,3,235,3,1125,8,98,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80101,-117.25778,Entire home/apt,8,2,2,4,330,3,1125,4,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79931,-117.25779,Entire home/apt,8,2,2,4,330,3,365,10,98,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79942,-117.25857,Entire home/apt,6,2,2,3,330,3,1125,4,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79956,-117.2588,Entire home/apt,6,2,2,3,358,3,1125,4,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80122,-117.25749,Entire home/apt,8,2,2,4,345,3,1125,5,88,0,1,0,0,0,1,0,1,0,0
Mira Mesa,32.91785,-117.14942,Entire home/apt,8,2,4,5,151,4,15,13,97,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.78582,-117.25426,Entire home/apt,4,1,1,2,181,5,240,76,91,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78553,-117.25448,Entire home/apt,3,1,1,2,195,3,180,69,93,0,1,0,0,0,1,0,1,0,0
Linda Vista,32.78175,-117.18221,Entire home/apt,4,3,2,2,200,28,1125,95,96,0,0,0,1,0,0,1,1,0,0
Balboa Park,32.72962,-117.13249,Private room,1,1,1,1,60,1,365,12,97,0,0,1,0,0,0,1,0,1,0
Pacific Beach,32.80675,-117.2456,Entire home/apt,8,2.5,4,5,299,6,21,14,89,0,1,0,0,0,1,0,1,0,0
Gaslamp Quarter,32.71328,-117.16208,Entire home/apt,4,2,2,2,450,31,365,44,97,0,0,1,0,0,0,1,1,0,0
Balboa Park,32.72081,-117.12928,Entire home/apt,2,1,1,1,150,2,1125,117,95,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.7609,-117.24777,Entire home/apt,16,3,5,10,466,1,365,26,88,0,1,0,0,0,1,0,1,0,0
East Village,32.71557,-117.15346,Entire home/apt,6,2.5,2,2,179,30,1125,1,100,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79773,-117.24334,Entire home/apt,2,1,1,1,104,1,1125,668,96,0,1,0,0,0,1,0,1,0,0
Balboa Park,32.71884,-117.14239,Entire home/apt,5,1,1,1,87,1,1125,322,95,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80619,-117.23379,Private room,2,1,1,1,72,4,365,30,98,0,1,0,0,0,1,0,0,1,0
Balboa Park,32.71724,-117.1322,Private room,1,1,1,1,50,30,90,217,99,0,0,1,0,0,0,1,0,1,0
Ocean Beach,32.75116,-117.24717,Entire home/apt,6,1,2,3,108,3,365,101,98,1,0,0,0,0,1,0,1,0,0
Clairemont Mesa,32.82404,-117.19434,Entire home/apt,6,2,3,3,204,3,180,59,96,0,0,0,1,0,0,1,1,0,0
Bay Park,32.78458,-117.20111,Entire home/apt,14,4,5,6,924,5,30,12,95,0,0,0,1,0,0,1,1,0,0
Old Town,32.74692,-117.18771,Entire home/apt,12,4,5,7,926,5,30,14,92,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.75086,-117.25112,Entire home/apt,5,1,2,3,213,3,1124,173,97,1,0,0,0,0,1,0,1,0,0
Mission Bay,32.77375,-117.25119,Entire home/apt,11,3,4,6,500,6,1125,6,93,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.7995,-117.25536,Entire home/apt,5,1,3,3,250,2,30,94,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78354,-117.2526,Entire home/apt,6,2,2,3,179,3,1125,64,95,0,1,0,0,0,1,0,1,0,0
La Jolla,32.84583,-117.2717,Entire home/apt,5,1.5,2,3,286,3,1124,100,95,0,1,0,0,0,1,0,1,0,0
La Jolla,32.85084,-117.24654,Entire home/apt,8,4.5,4,5,2750,1,365,1,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76679,-117.25175,Entire home/apt,4,1.5,2,2,225,3,1125,80,90,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.8024,-117.25792,Entire home/apt,16,3,5,11,489,3,30,15,97,0,1,0,0,0,1,0,1,0,0
Grant Hill,32.70878,-117.14366,Entire home/apt,2,1,1,1,69,14,365,13,93,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.71108,-117.14403,Entire home/apt,2,2,2,5,149,7,365,6,100,0,0,1,0,0,0,1,1,0,0
Roseville,32.72446,-117.23954,Entire home/apt,8,2,3,5,285,3,1125,91,94,1,0,0,0,0,1,0,1,0,0
Ocean Beach,32.74449,-117.25235,Entire home/apt,4,1,2,2,205,3,30,132,97,1,0,0,0,0,1,0,1,0,0
Midtown,32.73166,-117.16815,Entire home/apt,8,2,3,3,246,4,65,186,92,0,0,1,0,0,0,1,1,0,0
Grant Hill,32.71261,-117.1427,Entire home/apt,5,1,1,3,129,3,1125,182,94,0,0,1,0,0,0,1,1,0,0
Park West,32.72349,-117.16409,Hotel room,6,2,1,6,32,1,365,124,94,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.76751,-117.25213,Entire home/apt,4,1.5,2,2,226,3,365,90,91,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.74929,-117.24992,Entire home/apt,6,1,2,2,226,3,1124,285,99,1,0,0,0,0,1,0,1,0,0
Scripps Ranch,32.9042,-117.07048,Entire home/apt,9,4.5,5,5,350,10,1125,1,100,0,0,0,0,1,0,1,1,0,0
Pacific Beach,32.80727,-117.25695,Entire home/apt,8,2,3,4,168,3,1125,200,95,0,1,0,0,0,1,0,1,0,0
University City,32.8466,-117.21583,Private room,2,1,1,1,75,2,14,210,100,0,1,0,0,0,1,0,0,1,0
West University Heights,32.7631,-117.14528,Entire home/apt,4,1,1,3,110,2,28,319,96,0,0,0,1,0,0,1,1,0,0
Park West,32.72844,-117.16588,Private room,2,1,1,1,52,1,28,478,87,0,0,1,0,0,0,1,0,1,0
Torrey Pines,32.93302,-117.25326,Entire home/apt,6,2.5,3,3,330,3,1125,37,100,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.75082,-117.25154,Entire home/apt,6,4.5,3,3,1250,2,1125,24,99,1,0,0,0,0,1,0,1,0,0
Otay Ranch,32.63544,-116.98259,Private room,2,1.5,1,1,51,30,1125,12,95,0,0,0,0,1,0,1,0,1,0
Cortez Hill,32.71988,-117.16475,Entire home/apt,2,1,1,1,125,30,1125,5,100,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79818,-117.25807,Entire home/apt,4,2,2,3,135,30,1125,3,100,0,1,0,0,0,1,0,1,0,0
Webster,32.7278,-117.09235,Shared room,1,1,1,2,33,2,10,57,100,0,0,0,0,1,0,1,0,0,1
Otay Ranch,32.63461,-116.98408,Private room,2,1.5,1,1,53,1,1125,29,99,0,0,0,0,1,0,1,0,1,0
Mission Bay,32.76722,-117.25246,Entire home/apt,4,1.5,2,2,232,3,1125,78,89,0,1,0,0,0,1,0,1,0,0
Bay Park,32.78778,-117.19888,Entire home/apt,5,2,2,2,220,3,1125,63,97,0,0,0,1,0,0,1,1,0,0
Ocean Beach,32.75142,-117.24993,Entire home/apt,4,1,2,2,190,5,1125,28,100,1,0,0,0,0,1,0,1,0,0
Park West,32.73037,-117.16279,Entire home/apt,2,1,1,1,99,2,100,392,98,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80003,-117.2366,Entire home/apt,5,1,1,2,119,2,1125,33,91,0,1,0,0,0,1,0,1,0,0
La Jolla,32.82473,-117.23803,Entire home/apt,10,3,5,4,1214,3,100,59,94,0,1,0,0,0,1,0,1,0,0
West University Heights,32.75743,-117.14873,Entire home/apt,3,2,2,0,150,30,365,1,100,0,0,0,1,0,0,1,1,0,0
Mission Bay,32.78531,-117.25386,Entire home/apt,5,1,1,2,195,3,300,18,92,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78574,-117.254,Entire home/apt,9,2,3,5,283,3,28,19,88,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78568,-117.25392,Entire home/apt,4,1,1,3,186,3,270,18,96,0,1,0,0,0,1,0,1,0,0
West University Heights,32.76117,-117.14155,Entire home/apt,4,1,2,3,110,3,40,2,90,0,0,0,1,0,0,1,1,0,0
College Area,32.77173,-117.0519,Entire home/apt,1,1,1,1,60,2,29,283,99,0,0,0,0,1,0,1,1,0,0
Ocean Beach,32.74884,-117.25145,Entire home/apt,3,1,1,0,129,3,14,203,97,1,0,0,0,0,1,0,1,0,0
North Clairemont,32.83699,-117.19682,Entire home/apt,5,1,2,2,199,3,20,2,100,0,0,0,1,0,0,1,1,0,0
North Clairemont,32.83675,-117.19578,Private room,2,1,1,1,39,2,4,147,96,0,0,0,1,0,0,1,0,1,0
